time,gpu(%)
1706942202,0
1706942203,0
1706942204,0
1706942205,0
1706942206,0
1706942207,0
1706942208,0
1706942209,0
1706942210,0
1706942211,0
1706942212,0
1706942214,0
1706942215,0
1706942216,0
1706942217,0
1706942218,0
1706942219,0
1706942220,0
1706942221,0
