time,temperature(℃),level(%)
1706942202,322,100
1706942203,322,100
1706942204,322,100
1706942205,322,100
1706942206,322,100
1706942207,322,100
1706942208,322,100
1706942209,322,100
1706942210,322,100
1706942211,322,100
1706942212,322,100
1706942214,322,100
1706942215,322,100
1706942216,322,100
1706942217,322,100
1706942218,322,100
1706942219,322,100
1706942220,322,100
1706942221,322,100
